product_id,product_name,category,is_in_catalogue,units_sold,order_lines,orders,revenue_usd,revenue_usd_constant,fx_effect_usd,avg_unit_price_usd,revenue_coverage_pct,share_of_units,share_of_revenue,rank_by_units,rank_by_revenue
77,Bluetooth Car Adapter,Automotive,true,12,3,3,636.80,636.80,0.00,53.07,1.0,0.0121,0.0078,28,67
48,Bike Helmet Safety,Sports & Outdoors,true,9,3,3,605.97,600.80,5.17,67.33,1.0,0.0091,0.0075,36,68
63,Remote Control Drone,Toys & Games,true,14,2,2,605.65,600.81,4.84,43.26,1.0,0.0142,0.0074,26,69
38,Solar Garden Lights,Home & Garden,true,4,2,2,591.99,579.74,12.25,148.0,1.0,0.004,0.0073,66,70
91,Desk Organizer Bamboo,Office Supplies,true,5,3,3,590.90,590.90,0.00,147.73,0.6667,0.0051,0.0073,61,71
76,Car Seat Organizer,Automotive,true,18,3,3,590.70,590.70,0.00,32.82,1.0,0.0182,0.0073,15,72
55,Makeup Brush Set,Beauty & Personal Care,true,6,3,3,553.14,548.61,4.53,92.19,1.0,0.0061,0.0068,51,73
39,Non-Stick Cookware Set,Home & Garden,true,6,3,3,553.04,553.04,0.00,138.26,0.6667,0.0061,0.0068,51,74
43,Resistance Bands Set,Sports & Outdoors,true,9,3,3,548.01,542.53,5.48,60.89,1.0,0.0091,0.0067,36,75
67,Musical Keyboard Mini,Toys & Games,true,12,3,3,534.30,534.30,0.00,44.53,1.0,0.0121,0.0066,28,76
86,Pet Carrier Soft,Pet Supplies,true,26,3,3,525.14,525.14,0.00,20.2,1.0,0.0263,0.0065,5,77
69,Card Game Family Fun,Toys & Games,true,10,2,2,520.30,511.66,8.64,52.03,1.0,0.0101,0.0064,34,78
68,Action Figure Collectible,Toys & Games,true,12,2,2,519.09,509.01,10.08,43.26,1.0,0.0121,0.0064,28,79
65,Art Supplies Kit Kids,Toys & Games,true,18,2,2,513.36,513.36,0.00,28.52,1.0,0.0182,0.0063,15,80
13,Running Shorts Athletic,Clothing,true,2,2,2,503.16,503.16,0.00,251.58,1.0,0.002,0.0062,95,81
79,Sunshade Windshield,Automotive,true,10,2,2,467.64,467.64,0.00,46.76,1.0,0.0101,0.0058,34,82
62,Board Game Strategy,Toys & Games,true,7,1,1,467.26,455.05,12.21,66.75,1.0,0.0071,0.0057,49,83
98,Stapler Heavy Duty,Office Supplies,true,1,1,1,456.06,456.06,0.00,456.06,1.0,0.001,0.0056,106,84
94,Wireless Presenter Remote,Office Supplies,true,2,2,2,455.25,455.25,0.00,227.63,1.0,0.002,0.0056,95,85
45,Water Sports Goggles,Sports & Outdoors,true,9,3,3,452.09,452.09,0.00,50.23,1.0,0.0091,0.0056,36,86
110,Unknown product),Unknown,false,12,4,4,445.95,445.95,0.00,148.65,0.25,0.0121,0.0055,28,87
85,Cat Litter Mat,Pet Supplies,true,27,3,3,436.32,436.32,0.00,16.16,1.0,0.0273,0.0054,3,88
10,Smartphone Camera Lens Kit,Electronics,true,1,1,1,423.55,423.55,0.00,423.55,1.0,0.001,0.0052,106,89
97,Printer Paper Premium,Office Supplies,true,1,1,1,423.50,423.50,0.00,423.5,1.0,0.001,0.0052,106,90
66,Science Experiment Kit,Toys & Games,true,20,2,2,403.35,403.35,0.00,20.17,1.0,0.0202,0.005,12,91
106,Unknown product),Unknown,false,16,8,8,372.06,372.06,0.00,186.03,0.125,0.0162,0.0046,21,92
90,Pet Bed Orthopedic,Pet Supplies,true,2,2,2,358.75,358.75,0.00,179.38,1.0,0.002,0.0044,95,93
72,Tire Pressure Gauge,Automotive,true,8,2,2,357.48,357.48,0.00,44.69,1.0,0.0081,0.0044,43,94
61,Building Blocks Creative Set,Toys & Games,true,7,1,1,356.79,356.79,0.00,50.97,1.0,0.0071,0.0044,49,95
93,Standing Desk Converter,Office Supplies,true,2,2,2,346.80,346.80,0.00,173.4,1.0,0.002,0.0043,95,96
96,Whiteboard Magnetic,Office Supplies,true,2,2,2,346.20,346.20,0.00,173.1,1.0,0.002,0.0043,95,97
83,Pet Food Bowl Set,Pet Supplies,true,18,2,2,324.24,324.24,0.00,18.01,1.0,0.0182,0.004,15,98
82,Cat Scratching Post,Pet Supplies,true,21,3,3,247.24,247.24,0.00,17.66,0.6667,0.0213,0.003,10,99
80,Car Floor Mats,Automotive,true,8,1,1,184.11,179.30,4.81,23.01,1.0,0.0081,0.0023,43,100
103,Unknown product),Unknown,false,15,7,7,156.86,156.86,0.00,78.43,0.1429,0.0152,0.0019,24,101
109,Unknown product),Unknown,false,18,6,6,0.00,0.00,0.00,,0.0,0.0182,0.0,15,102
102,Unknown product),Unknown,false,16,8,8,0.00,0.00,0.00,,0.0,0.0162,0.0,21,102
101,Unknown product),Unknown,false,18,9,9,0.00,0.00,0.00,,0.0,0.0182,0.0,15,102
107,Unknown product),Unknown,false,20,7,7,0.00,0.00,0.00,,0.0,0.0202,0.0,12,102
108,Unknown product),Unknown,false,21,7,7,0.00,0.00,0.00,,0.0,0.0213,0.0,10,102
105,Unknown product),Unknown,false,14,7,7,0.00,0.00,0.00,,0.0,0.0142,0.0,26,102
104,Unknown product),Unknown,false,24,8,8,0.00,0.00,0.00,,0.0,0.0243,0.0,6,102
